date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests,cumulative_reported_tests
2021-03-17,Nevada,County,98710.0,0.0,4145.0,0.0,74.0,,86715.0,,4050.0,13.0,4145.0,7.0,74.0,115.0,59135.0
2021-03-17,Orange,County,3228519.0,0.0,247943.0,0.0,4502.0,,3218030.0,,302137.0,100.0,247943.0,23.0,4502.0,3930.0,2760019.0
2021-03-17,Out of state,County,,,,,,,,,,,,,,877.0,317064.0
2021-03-17,Placer,County,400434.0,0.0,20369.0,0.0,243.0,,327658.0,,21616.0,30.0,20369.0,3.0,243.0,714.0,268321.0
2021-03-17,Plumas,County,18997.0,0.0,645.0,0.0,4.0,,17206.0,,615.0,2.0,645.0,0.0,4.0,17.0,12685.0
2021-03-17,Riverside,County,2468145.0,0.0,281649.0,0.0,3925.0,,2536469.0,,336472.0,109.0,281649.0,32.0,3925.0,2619.0,1994320.0
2021-03-17,Sacramento,County,1567975.0,0.0,95650.0,0.0,1477.0,,1526131.0,,107479.0,128.0,95650.0,11.0,1477.0,2907.0,1182263.0
2021-03-17,San Benito,County,64022.0,0.0,5841.0,0.0,61.0,,70345.0,,6615.0,10.0,5841.0,0.0,61.0,52.0,47592.0
2021-03-17,San Bernardino,County,2217398.0,0.0,284170.0,0.0,4049.0,,2554854.0,,336490.0,190.0,284170.0,17.0,4049.0,2361.0,2122606.0
2021-03-17,San Diego,County,3370418.0,0.0,266313.0,0.0,3470.0,,3577909.0,,282839.0,410.0,266313.0,8.0,3470.0,5720.0,3250264.0
2021-03-17,San Francisco,County,892280.0,0.0,34873.0,0.0,457.0,,1715417.0,,44258.0,40.0,34873.0,1.0,457.0,1201.0,1129877.0
2021-03-17,San Joaquin,County,782545.0,0.0,67093.0,0.0,1164.0,,792481.0,,77587.0,237.0,67093.0,1.0,1164.0,2135.0,619547.0
2021-03-17,San Luis Obispo,County,278862.0,0.0,19858.0,0.0,249.0,,438013.0,,21270.0,26.0,19858.0,1.0,249.0,306.0,238968.0
2021-03-17,San Mateo,County,778001.0,0.0,39838.0,0.0,344.0,,1246687.0,,50232.0,32.0,39838.0,0.0,344.0,1525.0,765359.0
2021-03-17,Santa Barbara,County,456373.0,0.0,32585.0,0.0,433.0,,522344.0,,37475.0,29.0,32585.0,0.0,433.0,472.0,344481.0
2021-03-17,Santa Clara,County,1967585.0,0.0,112983.0,0.0,1805.0,,3181845.0,,128518.0,138.0,112983.0,8.0,1805.0,3651.0,2150231.0
2021-03-17,Santa Cruz,County,273999.0,0.0,14967.0,0.0,199.0,,332549.0,,15879.0,41.0,14967.0,0.0,199.0,468.0,208346.0
2021-03-17,Shasta,County,177925.0,0.0,11045.0,0.0,100.0,,159753.0,,8288.0,10.0,11045.0,0.0,100.0,239.0,98578.0
2021-03-17,Sierra,County,3115.0,0.0,49.0,0.0,0.0,,2299.0,,52.0,0.0,49.0,0.0,0.0,0.0,1172.0
2021-03-17,Siskiyou,County,43956.0,0.0,1479.0,0.0,5.0,,27881.0,,1605.0,2.0,1479.0,0.0,5.0,61.0,25734.0
2021-03-17,Solano,County,444255.0,0.0,30320.0,0.0,171.0,,554197.0,,31669.0,22.0,30320.0,0.0,171.0,579.0,371078.0
2021-03-17,Sonoma,County,496668.0,0.0,28877.0,0.0,292.0,,588506.0,,31635.0,27.0,28877.0,1.0,292.0,708.0,413201.0
2021-03-17,Stanislaus,County,562303.0,0.0,51524.0,0.0,682.0,,529403.0,,58041.0,114.0,51524.0,-1.0,682.0,909.0,442021.0
2021-03-17,Sutter,County,105747.0,0.0,8982.0,0.0,103.0,,84256.0,,9877.0,12.0,8982.0,1.0,103.0,129.0,66503.0
2021-03-17,Tehama,County,65885.0,0.0,4670.0,0.0,34.0,,50995.0,,4546.0,10.0,4670.0,0.0,34.0,68.0,39666.0
2021-03-17,Trinity,County,13354.0,0.0,308.0,0.0,3.0,,7227.0,,329.0,0.0,308.0,0.0,3.0,13.0,10994.0
2021-03-17,Tulare,County,484423.0,0.0,47929.0,0.0,805.0,,480942.0,,55549.0,34.0,47929.0,2.0,805.0,554.0,351743.0
2021-03-17,Tuolumne,County,52351.0,0.0,3938.0,0.0,57.0,,82691.0,,4570.0,0.0,3938.0,0.0,57.0,55.0,39791.0
2021-03-17,Unknown,County,,0.0,46.0,0.0,0.0,,,,,10.0,46.0,0.0,0.0,161.0,648423.0
2021-03-17,Ventura,County,852747.0,0.0,78648.0,0.0,916.0,,1182505.0,,95191.0,-23.0,78648.0,0.0,916.0,2345.0,1059123.0
2021-03-17,Yolo,County,223612.0,0.0,13169.0,0.0,190.0,,292127.0,,12979.0,7.0,13169.0,0.0,190.0,1819.0,236413.0
2021-03-17,Yuba,County,79290.0,0.0,5603.0,0.0,42.0,,59095.0,,6348.0,7.0,5603.0,0.0,42.0,97.0,51019.0
2021-03-16,Alameda,County,1685886.0,8.0,82353.0,0.0,1185.0,356.0,2117597.0,8.0,95780.0,100.0,82259.0,10.0,1177.0,2290.0,1492209.0
2021-03-16,Alpine,County,1117.0,0.0,82.0,0.0,0.0,0.0,1842.0,0.0,30.0,0.0,82.0,0.0,0.0,1.0,736.0
2021-03-16,Amador,County,38531.0,0.0,3511.0,0.0,44.0,21.0,97140.0,0.0,4016.0,4.0,3510.0,0.0,44.0,35.0,32130.0
2021-03-16,Butte,County,217769.0,0.0,11170.0,0.0,185.0,47.0,188904.0,0.0,11758.0,13.0,11154.0,-1.0,184.0,170.0,153145.0
2021-03-16,Calaveras,County,44289.0,0.0,1946.0,0.0,49.0,17.0,35309.0,0.0,2189.0,4.0,1945.0,0.0,49.0,27.0,24406.0
2021-03-16,California,State,40129160.0,200.0,3535534.0,0.0,55795.0,8526.0,51601716.0,235.0,4211742.0,2441.0,3532496.0,205.0,55577.0,88299.0,50687603.0
2021-03-16,Colusa,County,22593.0,0.0,1882.0,0.0,12.0,8.0,15242.0,0.0,1737.0,-1.0,1882.0,0.0,12.0,15.0,13675.0
2021-03-16,Contra Costa,County,1160099.0,4.0,64026.0,0.0,737.0,311.0,1279430.0,6.0,70694.0,104.0,63951.0,4.0,736.0,1600.0,990151.0
2021-03-16,Del Norte,County,27558.0,1.0,1053.0,0.0,6.0,11.0,67955.0,1.0,1147.0,0.0,1048.0,0.0,6.0,50.0,24244.0
2021-03-16,El Dorado,County,193098.0,0.0,9252.0,0.0,105.0,51.0,147891.0,0.0,9085.0,14.0,9249.0,2.0,105.0,224.0,127952.0
2021-03-16,Fresno,County,1032227.0,7.0,97727.0,0.0,1507.0,272.0,1034879.0,10.0,114357.0,118.0,97638.0,2.0,1498.0,1121.0,819065.0
2021-03-16,Glenn,County,29348.0,0.0,2269.0,0.0,17.0,4.0,21505.0,0.0,2327.0,6.0,2267.0,2.0,17.0,17.0,16384.0
2021-03-16,Humboldt,County,134098.0,2.0,3365.0,0.0,33.0,63.0,115244.0,0.0,3536.0,14.0,3351.0,1.0,33.0,164.0,86770.0
2021-03-16,Imperial,County,191649.0,1.0,27168.0,0.0,691.0,84.0,255784.0,12.0,31028.0,21.0,27143.0,5.0,689.0,84.0,162730.0
2021-03-16,Inyo,County,18453.0,0.0,1351.0,0.0,35.0,25.0,16491.0,0.0,1139.0,0.0,1346.0,0.0,35.0,18.0,14012.0
2021-03-16,Kern,County,927251.0,7.0,93392.0,0.0,1149.0,154.0,883038.0,10.0,106241.0,74.0,93340.0,3.0,1144.0,533.0,674448.0
2021-03-16,Kings,County,156444.0,3.0,22336.0,0.0,233.0,23.0,311380.0,2.0,25861.0,26.0,22320.0,0.0,233.0,97.0,146867.0
2021-03-16,Lake,County,64871.0,1.0,3251.0,0.0,43.0,28.0,58879.0,1.0,3781.0,9.0,3246.0,0.0,43.0,40.0,48405.0
2021-03-16,Lassen,County,30065.0,0.0,5125.0,0.0,1.0,4.0,113214.0,0.0,5872.0,1.0,5126.0,0.0,1.0,17.0,43659.0
2021-03-16,Los Angeles,County,10257557.0,11.0,1173416.0,0.0,22602.0,174.0,16777221.0,2.0,1500314.0,231.0,1172676.0,50.0,22527.0,59894.0,23343769.0
2021-03-16,Madera,County,160089.0,0.0,15835.0,0.0,214.0,37.0,209321.0,2.0,17816.0,16.0,15822.0,0.0,214.0,119.0,117537.0
2021-03-16,Marin,County,260800.0,0.0,13428.0,0.0,218.0,81.0,432021.0,0.0,14840.0,11.0,13419.0,0.0,218.0,425.0,274704.0
2021-03-16,Mariposa,County,17795.0,0.0,379.0,0.0,5.0,8.0,18860.0,0.0,421.0,3.0,379.0,0.0,5.0,5.0,7912.0
2021-03-16,Mendocino,County,88439.0,1.0,3625.0,0.0,44.0,33.0,88349.0,1.0,3992.0,8.0,3623.0,0.0,44.0,48.0,57246.0
2021-03-16,Merced,County,287420.0,1.0,29250.0,0.0,408.0,53.0,305764.0,0.0,30886.0,29.0,29198.0,0.0,407.0,256.0,217112.0
2021-03-16,Modoc,County,9475.0,0.0,341.0,0.0,3.0,2.0,5353.0,0.0,158.0,1.0,341.0,0.0,3.0,2.0,3601.0
2021-03-16,Mono,County,13961.0,1.0,1212.0,0.0,3.0,34.0,14655.0,1.0,1312.0,1.0,1207.0,0.0,3.0,1.0,12733.0
2021-03-16,Monterey,County,448732.0,18.0,42061.0,0.0,334.0,215.0,513891.0,23.0,47238.0,12.0,42023.0,1.0,334.0,296.0,347985.0
2021-03-16,Napa,County,139652.0,1.0,9219.0,0.0,76.0,22.0,228027.0,1.0,9976.0,13.0,9209.0,0.0,75.0,154.0,144286.0
2021-03-16,Nevada,County,98710.0,2.0,4145.0,0.0,74.0,17.0,86715.0,1.0,4050.0,9.0,4132.0,1.0,67.0,70.0,59020.0
2021-03-16,Orange,County,3228519.0,15.0,247943.0,0.0,4502.0,1012.0,3218030.0,29.0,302137.0,146.0,247843.0,-2.0,4479.0,2937.0,2756089.0
2021-03-16,Out of state,County,,,,,,,,,,,,,,834.0,316187.0
2021-03-16,Placer,County,400434.0,4.0,20369.0,0.0,243.0,125.0,327658.0,1.0,21616.0,31.0,20339.0,2.0,240.0,557.0,267607.0
2021-03-16,Plumas,County,18997.0,0.0,645.0,0.0,4.0,36.0,17206.0,0.0,615.0,1.0,643.0,0.0,4.0,17.0,12668.0
2021-03-16,Riverside,County,2468145.0,6.0,281649.0,0.0,3925.0,514.0,2536469.0,11.0,336472.0,173.0,281540.0,37.0,3893.0,2219.0,1991701.0
2021-03-16,Sacramento,County,1567975.0,2.0,95650.0,0.0,1477.0,248.0,1526131.0,2.0,107479.0,108.0,95522.0,3.0,1466.0,1744.0,1179356.0
2021-03-16,San Benito,County,64022.0,2.0,5841.0,0.0,61.0,29.0,70345.0,3.0,6615.0,0.0,5831.0,0.0,61.0,40.0,47540.0
2021-03-16,San Bernardino,County,2217398.0,11.0,284170.0,0.0,4049.0,381.0,2554854.0,8.0,336490.0,165.0,283980.0,28.0,4032.0,1689.0,2120245.0
2021-03-16,San Diego,County,3370418.0,13.0,266313.0,0.0,3470.0,1059.0,3577909.0,19.0,282839.0,257.0,265903.0,10.0,3462.0,-389.0,3244544.0
2021-03-16,San Francisco,County,892280.0,1.0,34873.0,0.0,457.0,374.0,1715417.0,2.0,44258.0,13.0,34833.0,0.0,456.0,1149.0,1128676.0
2021-03-16,San Joaquin,County,782545.0,6.0,67093.0,0.0,1164.0,175.0,792481.0,6.0,77587.0,234.0,66856.0,23.0,1163.0,1004.0,617412.0
2021-03-16,San Luis Obispo,County,278862.0,3.0,19858.0,0.0,249.0,90.0,438013.0,3.0,21270.0,19.0,19832.0,1.0,248.0,139.0,238662.0
2021-03-16,San Mateo,County,778001.0,6.0,39838.0,0.0,344.0,241.0,1246687.0,9.0,50232.0,41.0,39806.0,0.0,344.0,1216.0,763834.0
2021-03-16,Santa Barbara,County,456373.0,1.0,32585.0,0.0,433.0,140.0,522344.0,3.0,37475.0,27.0,32556.0,2.0,433.0,262.0,344009.0
2021-03-16,Santa Clara,County,1967585.0,9.0,112983.0,0.0,1805.0,636.0,3181845.0,10.0,128518.0,116.0,112845.0,-1.0,1797.0,2844.0,2146580.0
2021-03-16,Santa Cruz,County,273999.0,0.0,14967.0,0.0,199.0,87.0,332549.0,1.0,15879.0,27.0,14926.0,-1.0,199.0,285.0,207878.0
2021-03-16,Shasta,County,177925.0,1.0,11045.0,0.0,100.0,13.0,159753.0,0.0,8288.0,16.0,11035.0,8.0,100.0,119.0,98339.0
2021-03-16,Sierra,County,3115.0,0.0,49.0,0.0,0.0,0.0,2299.0,0.0,52.0,0.0,49.0,0.0,0.0,0.0,1172.0
2021-03-16,Siskiyou,County,43956.0,0.0,1479.0,0.0,5.0,10.0,27881.0,0.0,1605.0,2.0,1477.0,0.0,5.0,39.0,25673.0
2021-03-16,Solano,County,444255.0,0.0,30320.0,0.0,171.0,61.0,554197.0,0.0,31669.0,40.0,30298.0,0.0,171.0,502.0,370499.0
2021-03-16,Sonoma,County,496668.0,5.0,28877.0,0.0,292.0,140.0,588506.0,5.0,31635.0,36.0,28850.0,6.0,291.0,627.0,412493.0
2021-03-16,Stanislaus,County,562303.0,21.0,51524.0,0.0,682.0,181.0,529403.0,20.0,58041.0,53.0,51410.0,0.0,683.0,659.0,441112.0
2021-03-16,Sutter,County,105747.0,3.0,8982.0,0.0,103.0,58.0,84256.0,2.0,9877.0,8.0,8970.0,0.0,102.0,87.0,66374.0
2021-03-16,Tehama,County,65885.0,0.0,4670.0,0.0,34.0,8.0,50995.0,0.0,4546.0,10.0,4660.0,0.0,34.0,41.0,39598.0
2021-03-16,Trinity,County,13354.0,0.0,308.0,0.0,3.0,2.0,7227.0,0.0,329.0,0.0,308.0,0.0,3.0,8.0,10981.0
2021-03-16,Tulare,County,484423.0,9.0,47929.0,0.0,805.0,190.0,480942.0,8.0,55549.0,38.0,47895.0,3.0,803.0,353.0,351189.0
2021-03-16,Tuolumne,County,52351.0,0.0,3938.0,0.0,57.0,7.0,82691.0,1.0,4570.0,1.0,3938.0,0.0,57.0,29.0,39736.0
2021-03-16,Unknown,County,,3.0,46.0,0.0,0.0,,,,,-49.0,36.0,0.0,0.0,374.0,648262.0
2021-03-16,Ventura,County,852747.0,7.0,78648.0,0.0,916.0,214.0,1182505.0,8.0,95191.0,45.0,78671.0,6.0,916.0,250.0,1056778.0
2021-03-16,Yolo,County,223612.0,1.0,13169.0,0.0,190.0,283.0,292127.0,1.0,12979.0,31.0,13162.0,0.0,190.0,813.0,234594.0
2021-03-16,Yuba,County,79290.0,2.0,5603.0,0.0,42.0,57.0,59095.0,2.0,6348.0,11.0,5596.0,0.0,42.0,78.0,50922.0
2021-03-15,Alameda,County,1685886.0,33.0,82345.0,0.0,1185.0,4685.0,2117241.0,53.0,95772.0,43.0,82159.0,-1.0,1167.0,4023.0,1489919.0
2021-03-15,Alpine,County,1117.0,0.0,82.0,0.0,0.0,1.0,1842.0,0.0,30.0,0.0,82.0,0.0,0.0,1.0,735.0
2021-03-15,Amador,County,38531.0,0.0,3511.0,0.0,44.0,210.0,97119.0,1.0,4016.0,2.0,3506.0,0.0,44.0,64.0,32095.0
2021-03-15,Butte,County,217769.0,10.0,11170.0,0.0,185.0,252.0,188857.0,8.0,11758.0,1.0,11141.0,0.0,185.0,350.0,152975.0
